"Landbouw; gewassen, dieren en grondgebruik naar hoofdbedrijfstype, regio"
"";"Regio's";"Nederland"
"";"Onderwerpen";"Aantal landbouwbedrijven, totaal"
"Bedrijfstypen";"Perioden";"aantal"
"Totaal akkerbouwbedrijven";"2016";"10821"
"Totaal tuinbouwbedrijven";"2016";"7389"
"Totaal blijvendeteeltbedrijven";"2016";"1612"
"Totaal graasdierbedrijven";"2016";"27910"
"Totaal hokdierbedrijven";"2016";"4837"
"Totaal gewascombinaties";"2016";"1076"
"Totaal veeteeltcombinaties";"2016";"607"
"Totaal Gewas/veecombinaties";"2016";"1429"
"� Centraal Bureau voor de Statistiek, Den Haag/Heerlen 12-10-2017"
